step 0: train loss 4.1676, val loss 4.1649
iter 338: loss 2.3627, time 25.20ms, mfu 0.05%
iter 339: loss 2.4604, time 25.26ms, mfu 0.05%
iter 340: loss 2.3399, time 25.12ms, mfu 0.05%
iter 341: loss 2.3219, time 25.13ms, mfu 0.05%
iter 342: loss 2.3083, time 25.89ms, mfu 0.05%
iter 343: loss 2.3292, time 25.13ms, mfu 0.05%
iter 344: loss 2.4011, time 25.10ms, mfu 0.05%
iter 345: loss 2.3629, time 26.70ms, mfu 0.05%
iter 346: loss 2.3651, time 25.84ms, mfu 0.05%
iter 347: loss 2.3855, time 28.08ms, mfu 0.05%
iter 348: loss 2.3176, time 26.55ms, mfu 0.05%
iter 349: loss 2.3569, time 25.48ms, mfu 0.05%
iter 350: loss 2.3469, time 25.49ms, mfu 0.05%
iter 351: loss 2.2708, time 25.20ms, mfu 0.05%
iter 352: loss 2.3750, time 26.37ms, mfu 0.05%
iter 353: loss 2.4569, time 27.71ms, mfu 0.05%
iter 354: loss 2.3698, time 27.02ms, mfu 0.05%
iter 355: loss 2.4557, time 25.94ms, mfu 0.05%
iter 356: loss 2.2876, time 25.36ms, mfu 0.05%
iter 357: loss 2.3108, time 25.60ms, mfu 0.05%
iter 358: loss 2.3451, time 25.42ms, mfu 0.05%
iter 359: loss 2.3458, time 27.29ms, mfu 0.05%
iter 360: loss 2.3961, time 26.31ms, mfu 0.05%
iter 361: loss 2.2864, time 27.23ms, mfu 0.05%
iter 362: loss 2.3844, time 26.19ms, mfu 0.05%
iter 363: loss 2.3686, time 25.63ms, mfu 0.05%
iter 364: loss 2.3647, time 25.84ms, mfu 0.05%
iter 365: loss 2.3941, time 26.89ms, mfu 0.05%
iter 366: loss 2.4251, time 26.55ms, mfu 0.05%
iter 367: loss 2.3330, time 26.19ms, mfu 0.05%
iter 368: loss 2.3741, time 26.99ms, mfu 0.05%
iter 369: loss 2.3811, time 26.29ms, mfu 0.05%
iter 370: loss 2.4841, time 25.51ms, mfu 0.05%
iter 371: loss 2.3499, time 26.67ms, mfu 0.05%
iter 372: loss 2.3112, time 26.76ms, mfu 0.05%
iter 373: loss 2.3843, time 26.50ms, mfu 0.05%
iter 374: loss 2.4027, time 28.73ms, mfu 0.05%
iter 375: loss 2.2901, time 28.62ms, mfu 0.05%
iter 376: loss 2.3647, time 29.15ms, mfu 0.05%
iter 377: loss 2.3586, time 29.32ms, mfu 0.05%
iter 378: loss 2.3696, time 29.26ms, mfu 0.05%
iter 379: loss 2.3296, time 28.03ms, mfu 0.05%
iter 380: loss 2.3368, time 28.81ms, mfu 0.05%
iter 381: loss 2.2844, time 28.14ms, mfu 0.05%
iter 382: loss 2.4087, time 28.55ms, mfu 0.05%
iter 383: loss 2.3730, time 30.15ms, mfu 0.05%
iter 384: loss 2.3091, time 27.50ms, mfu 0.05%
iter 385: loss 2.3157, time 27.69ms, mfu 0.05%
iter 386: loss 2.3395, time 29.01ms, mfu 0.05%
iter 387: loss 2.3361, time 29.01ms, mfu 0.05%
iter 388: loss 2.2580, time 28.36ms, mfu 0.05%
iter 389: loss 2.3664, time 29.16ms, mfu 0.05%
iter 390: loss 2.3506, time 28.96ms, mfu 0.04%
iter 391: loss 2.4118, time 28.82ms, mfu 0.04%
iter 392: loss 2.3034, time 28.92ms, mfu 0.04%
iter 393: loss 2.3125, time 29.34ms, mfu 0.04%
iter 394: loss 2.4655, time 29.68ms, mfu 0.04%
iter 395: loss 2.3174, time 28.57ms, mfu 0.04%
iter 396: loss 2.3736, time 28.83ms, mfu 0.04%
